0.000000 0.000000
0.062832 0.062832
0.125664 0.062584
0.188496 0.062088
0.251327 0.061344
0.314159 0.060351
0.376991 0.059111
0.439823 0.057623
0.502655 0.055886
0.565487 0.053902
0.628319 0.051670
0.691150 0.049189
0.753982 0.046461
0.816814 0.043484
0.879646 0.040259
0.942478 0.036787
1.005310 0.033066
1.068142 0.029097
1.130973 0.024880
1.193805 0.020415
1.256637 0.015702
1.319469 0.010741
1.382301 0.005532
1.445133 0.000075
1.507964 -0.005630
1.570796 -0.011583
1.633628 -0.017784
1.696460 -0.024234
1.759292 -0.030931
1.822124 -0.037877
1.884956 -0.045070
1.947787 -0.052511
2.010619 -0.060201
2.073451 -0.068139
2.136283 -0.076324
2.199115 -0.084758
2.261947 -0.093440
2.324779 -0.102370
2.387610 -0.111547
2.450442 -0.120973
2.513274 -0.130647
2.576106 -0.140569
2.638938 -0.150739
2.701770 -0.161157
2.764602 -0.171824
2.827433 -0.182738
2.890265 -0.193900
2.953097 -0.205310
3.015929 -0.216969
3.078761 -0.228875
3.141593 -0.241030
3.204425 -0.253432
3.267256 -0.266083
3.330088 -0.278981
3.392920 -0.292128
3.455752 -0.305523
3.518584 -0.319165
3.581416 -0.333056
3.644247 -0.347195
3.707079 -0.361582
3.769911 -0.376217
3.832743 -0.391100
3.895575 -0.406231
3.958407 -0.421610
4.021239 -0.437237
4.084070 -0.453113
4.146902 -0.469236
4.209734 -0.485607
4.272566 -0.502227
4.335398 -0.519094
4.398230 -0.536209
4.461062 -0.553573
4.523893 -0.571184
4.586725 -0.589044
4.649557 -0.607152
4.712389 -0.625507
4.775221 -0.644111
4.838053 -0.662963
4.900885 -0.682063
4.963716 -0.701411
5.026548 -0.721007
5.089380 -0.740851
5.152212 -0.760943
5.215044 -0.781283
5.277876 -0.801871
5.340708 -0.822707
5.403539 -0.843792
5.466371 -0.865124
5.529203 -0.886704
5.592035 -0.908533
5.654867 -0.930609
5.717699 -0.952934
5.780530 -0.975506
5.843362 -0.998327
5.906194 -1.021396
5.969026 -1.044712
6.031858 -1.068277
6.094690 -1.092090
6.157522 -1.116151
6.220353 -1.140460
6.283185 -1.165017
